unique_step_id,battery_id,step_number,working_ion,battery_formula,formula_charge,formula_discharge,charge_material_id,discharge_material_id,charge_cif,discharge_cif,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,fracA_charge,fracA_discharge,stability_charge,max_delta_volume,delta_stability,delta_fracA,total_steps_in_battery,max_voltage_step
mp-775796_Li_Step1,mp-775796_Li,1,Li,Li0-2Ti3NbO8,Ti3NbO8,Li2Ti3NbO8,mp-776082,mp-775796,mp-775796_Li_Step1_CHG_mp-776082.cif,mp-775796_Li_Step1_DIS_mp-775796.cif,-1.179640301830043,4.9604827516107886,585.9878492,263.2911877,1089.104552,0.0,0.142857143,0.7578477917181219,-0.025102131327719313,0.015759209,-0.142857143,1,0.0
mp-775807_Li_Step1,mp-775807_Li,1,Li,Li0-3MnNb4O12,MnNb4O12,Li3MnNb4O12,mp-775807,mp-780417,mp-775807_Li_Step1_CHG_mp-775807.cif,mp-775807_Li_Step1_DIS_mp-780417.cif,-0.31235458358628765,4.842247345747476,584.7295253,377.2624094,1754.19199,0.0,0.15,-0.13528072829227322,-0.25650671728524294,0.02316809,-0.15,1,0.0
mp-775872_Li_Step1,mp-775872_Li,1,Li,Li0-4Co3P4O15,Co3P4O15,Li4Co3P4O15,mp-849725,mp-775872,mp-775872_Li_Step1_CHG_mp-849725.cif,mp-775872_Li_Step1_DIS_mp-775872.cif,1.9671182524121873,3.910845456789804,152.394343,325.3363794,1013.041509,0.0,0.043478261,2.174655291726908,-0.21760649336524357,0.091129884,-0.043478261,2,2.401163302
mp-775872_Li_Step2,mp-775872_Li,2,Li,Li0-4Co3P4O15,Co3P4O15,Li4Co3P4O15,mp-775872,mp-778384,mp-775872_Li_Step2_CHG_mp-775872.cif,mp-775872_Li_Step2_DIS_mp-778384.cif,0.6346402758127907,4.958957011224183,452.5840278,600.6238361,1921.824506,0.043478261,0.153846154,0.36146735075547065,-0.31588003489209615,0.004592396,-0.110367893,2,2.401163302
mp-775904_Li_Step1,mp-775904_Li,1,Li,Li0-1V4O5F7,V4O5F7,LiV4O5F7,mp-849292,mp-775904,mp-775904_Li_Step1_CHG_mp-849292.cif,mp-775904_Li_Step1_DIS_mp-775904.cif,-0.07475197465091446,4.16288862062975,212.5603627,209.5518217,704.1513797,0.0,0.058823529,-0.816506470669555,-0.3222944999665426,-0.041913303,-0.058823529,1,0.0
mp-775954_Li_Step1,mp-775954_Li,1,Li,Li0-5Mn7Fe3O20,Mn7Fe3O20,Li5Mn7Fe3O20,mp-777317,mp-779755,mp-775954_Li_Step1_CHG_mp-777317.cif,mp-775954_Li_Step1_DIS_mp-779755.cif,0.7877891788131282,5.002478650943064,596.2807406,657.3165602,2652.194347,0.0,0.142857143,1.002083734151137,-0.08930525861485686,0.100504635,-0.142857143,1,0.0
mp-776270_Li_Step1,mp-776270_Li,1,Li,Li0-1CoPO4,CoPO4,LiCoPO4,mp-776270,mp-776295,mp-776270_Li_Step1_CHG_mp-776270.cif,mp-776270_Li_Step1_DIS_mp-776295.cif,1.0325061350913292,5.121751231891704,619.1033256,794.8129559,2953.101323,0.0,0.142857143,1.486899323392168,0.055642409438685946,0.088445689,-0.142857143,1,0.0
mp-776100_Li_Step1,mp-776100_Li,1,Li,Li0-4Ti5Mn3O16,Ti5Mn3O16,Li4Ti5Mn3O16,mp-776100,mp-777417,mp-776100_Li_Step1_CHG_mp-776100.cif,mp-776100_Li_Step1_DIS_mp-777417.cif,0.09111807174568878,5.055254332472813,590.5905423,550.2886044,2085.382678,0.0,0.142857143,0.6761403704940389,0.5425584010538432,0.054288903,-0.142857143,1,0.0
mp-776288_Li_Step1,mp-776288_Li,1,Li,Li0-1FePO4,FePO4,LiFePO4,mp-776288,mp-831160,mp-776288_Li_Step1_CHG_mp-776288.cif,mp-776288_Li_Step1_DIS_mp-831160.cif,-0.06771909582578318,5.141023150316794,603.2624459,564.3709665,2004.018814,0.0,0.142857143,-0.6857465600060684,0.17100003340948958,-0.000386133,-0.142857143,1,0.0
mp-776053_Li_Step1,mp-776053_Li,1,Li,Li0-2TiMn2O6,TiMn2O6,Li2TiMn2O6,mp-1101349,mp-776053,mp-776053_Li_Step1_CHG_mp-1101349.cif,mp-776053_Li_Step1_DIS_mp-776053.cif,-0.060402985871017334,5.304766220915691,732.8862324,667.2987092,2441.681662,0.0,0.181818182,0.6266540649493969,0.49475355710860836,0.02054299,-0.181818182,1,0.0
mp-776417_Li_Step1,mp-776417_Li,1,Li,Li0-1V6O7F5,V6O7F5,LiV6O7F5,mp-781614,mp-776417,mp-776417_Li_Step1_CHG_mp-781614.cif,mp-776417_Li_Step1_DIS_mp-776417.cif,-1.0261688527957367,3.962396484825562,204.8051574,106.2903173,422.0135513,0.0,0.052631579,-0.5661874063168825,0.055432813014340714,-0.058998697,-0.052631579,1,0.0
mp-776420_Li_Step1,mp-776420_Li,1,Li,Li0-1V2OF5,V2OF5,LiV2OF5,mp-779365,mp-776420,mp-776420_Li_Step1_CHG_mp-779365.cif,mp-776420_Li_Step1_DIS_mp-776420.cif,-0.32039848276493615,4.811592419237177,406.4464306,364.4915691,1215.038817,0.0,0.111111111,-1.2851533575077023,-0.2918253470358987,-0.068356583,-0.111111111,1,0.0
